COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,JAPAN,MATSUYAMA,33.83333333,132.7666667,7/26/1945,URBAN AREA,
USA,BURMA,SHINGBAN,26.25,96.58333333,11/15/1943,UNIDENTIFIED TARGET,
USA,SUMATRA,IPIL,-2.866666667,104.15,12/20/1944,PERSONNEL,
USA,ITALY,FABA SABINA,42.2,12.72,4/2/1944,,631
USA,CHINA,SICHWAN,33.8,112.55,5/24/1945,TANKS TRUCKS,
USA,PHILIPPINE ISLANDS,TUGUEGARAO,17.66666667,121.75,6/24/1945,AMMUNITION SUPPLIES,
USA,FORMOSA AND RYUKYU ISLANDS,SHINCHIKU,24.8,120.9666667,4/28/1945,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,TALASEA,-5.333333333,150,2/12/1945,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,ROOKE ISLAND,-5.633333333,147.95,12/1/1944,UNIDENTIFIED TARGET,
USA,CELEBES ISLANDS,MAPANGET,1.533333333,124.9333333,12/24/1944,AIRDROME,
USA,BURMA,HPAHPEK,22.63333333,97.28333333,3/5/1945,TROOPS,
USA,BISMARK ARCHIPELAGO,LAE,-6.75,147,1/3/1944,SUPPLY DUMP,
USA,NEW GUINEA,AWAR,-4.166666667,144.8333333,6/1/1944,AREA,
USA,CELEBES ISLANDS,NAMLEA,-3.266666667,127.1,8/28/1944,AIRDROME,
USA,GILBERT ISLANDS,TARAWA,1.5,173,2/17/1943,UNIDENTIFIED TARGET,
USA,CELEBES ISLANDS,MANDAI,-5.066666667,119.5166667,4/28/1945,SHIPPING,
USA,GILBERT ISLANDS,TARAWA,1.5,173,11/19/1943,RUNWAY,
USA,NEW GUINEA,BIAK,-1,136,5/13/1944,BOSNER SUPPLY AREA,
GREAT BRITAIN,GERMANY,BERLIN,52.516667,13.366667,10/1/1939,PROPAGANDA,
USA,CHINA,CHANGESHA,28.2,112.9666667,6/11/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,MUSHU ISLAND,-3.416666667,143.5833333,6/28/1944,PERSONNEL,
USA,BISMARK ARCHIPELAGO,VUNAPOPE,-4.333333333,152.3333333,3/16/1944,UNIDENTIFIED TARGET,
USA,FRENCH INDO CHINA,KEP,21.4,106.25,3/11/1945,HIGHWAY BRIDGE,
USA,MARSHALL ISLANDS,WOTJE ISLAND,9.5,170,4/24/1944,MAGAZINES,
USA,BURMA,PAZUNDAUNG,16.849926,96.209541,3/14/1943,RAILROAD BRIDGE,
USA,BISMARK ARCHIPELAGO,RABAUL,-4.229885,152.185671,6/4/1942,DOCK AREAS,
USA,NEW GUINEA,WARSA,-0.75,135.9166667,8/24/1944,AREA,
USA,NEW GUINEA,PARAKOVIO,-3.283333333,142.7166667,6/13/1944,VILLAGE,
USA,MARSHALL ISLANDS,MILLE ATOLL,6.166666667,171.9166667,1/31/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,JARIFFI ISLAND,-0.75,130.6666667,1/22/1945,BUILDING AREA,
USA,PALAU ISLANDS,KOROR ISLAND,7.333333333,134.5,5/8/1945,AA POSITION,
USA,CAROLINE ISLANDS,ETEN ISLAND,7.35,151.8833333,4/11/1945,CONCRETE INSTALLATIO,
USA,ITALY,SUZZARA,44.98,10.77,7/14/1944,,631
USA,BURMA,PAPUN,18.06666667,97.45,5/21/1945,TROOPS,
USA,BURMA,MYITKYINA,25.38333333,97.4,12/2/1943,AIRDROME,
USA,BURMA,PYUNTATA,17.88333333,96.71666667,3/30/1945,RAILROAD YARDS,
NEW ZEALAND,NEW IRELAND,KAVIENG SWEEP,-2.583333333,150.8333333,4/16/1945,VARIOUS TARGETS,
GREAT BRITAIN,ALBANIA,DURAZZO & TIRANA AD,41.32,19.45,2/12/1941,,
USA,PHILIPPINE ISLANDS,LICUAN,17.58333333,120.8333333,2/16/1945,AIDROME,
USA,BURMA,MYITKYINA,25.38333333,97.4,5/10/1944,TOWN,
USA,FORMOSA AND RYUKYU ISLANDS,KOSHUN,22,120.7333333,6/13/1945,UNIDENTIFIED TARGET,
USA,JAPAN,KURUME,33.3,130.5166667,7/16/1945,RAILROAD INSTALLATIO,
USA,BISMARK ARCHIPELAGO,LINDENHAFEN,-6.216666667,150.4666667,2/2/1944,PLANT,
USA,BURMA,MAWLU,24.46666667,96.18333333,4/11/1944,GROUND SUPPORT,
USA,CHINA,SHIHLWEIYAO,40.56666667,117.05,8/8/1944,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,4/20/1945,UNIDENTIFIED TARGET,
USA,BURMA,KALEWA,23.2,94.3,10/6/1943,TOWN,
USA,NEW GUINEA,KARKAR ISLAND,-4.666666667,146,3/17/1944,UNIDENTIFIED TARGET,
USA,GILBERT ISLANDS,TARAWA,1.5,173,11/19/1943,GUN POSITIONS,
USA,FRENCH INDO CHINA,HANOI,21.2,105.8666667,7/6/1945,BARGES,
USA,PHILIPPINE ISLANDS,LUZON,15,121,1/13/1945,ENEMY TRAINS,
USA,SOLOMON ISLANDS,PELAU ISLAND,-5.216666667,159.45,8/1/1944,UNIDENTIFIED TARGET,
USA,CHINA,HENGYANG,26.93333333,112.5833333,8/23/1944,UNIDENTIFIED TARGET,
USA,JAPAN,MOJI,33.93333333,130.9666667,6/28/1945,URBAN AREA,
USA,CHINA,HENGYANG,26.93333333,112.5833333,8/18/1944,AIRFIELD,
USA,NEW GUINEA,KANOMI,-6.25,147.6666667,12/27/1943,VILLAGE,
USA,BORNEO,BALIK PAPAN,-1.25,116.8333333,1/30/1945,OIL REFINERY,
USA,NEW GUINEA,MANDON,-1.166666667,136.1666667,5/26/1944,UNIDENTIFIED TARGET,
USA,CELEBES ISLANDS,BOELA,-3.166666667,130.4666667,9/11/1944,OIL TANKS,
USA,NEW GUINEA,UTAROM,-3.6166666,133.666666,10/1/1944,UNIDENTIFIED TARGET,
USA,LIBYA,TOBRUK,32.04,23.95,9/13/1942,,710
USA,PHILIPPINE ISLANDS,LUZON,15,121,6/18/1945,UNIDENTIFIED TARGET,
USA,BORNEO,BRUNEI BAY,4.916666667,114.9166667,6/13/1945,TOWN,
USA,PHILIPPINE ISLANDS,TUGUEGARAO,17.66666667,121.75,3/17/1945,AIRDROME,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,7/24/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,SAGAN,-2.65,132.9166667,9/25/1944,PERSONNEL,
USA,CELEBES ISLANDS,BEO,4.25,126.8333333,3/14/1945,UNIDENTIFIED TARGET,
USA,CAROLINE ISLANDS,SOROL ISLAND,8.133333333,140.4,6/22/1944,RADIO STATION,
USA,CELEBES ISLANDS,BOEROE ISLAND,-3.25,127.104408,9/11/1944,LUGGER,
USA,JAPAN,OITA,33.23333333,131.6333333,5/4/1945,OITA AIRFIELD,
GREAT BRITAIN,SUDAN,KASSALA,15.45,36.4,7/31/1940,,
USA,PHILIPPINE ISLANDS,LAKE TAAL,13.91666667,121,3/10/1945,GROUND TROOPS,
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,8/2/1944,AIRFIELD,
USA,NEW GUINEA,KAUP,-3.75,144.05,4/12/1945,VILLAGE,
USA,BURMA,NYAUNGU,17.06666667,97.3,2/15/1945,BEACHHEAD AREA,
USA,CRETE,CRETE,35.19,25.72,9/29/1942,,710
USA,PHILIPPINE ISLANDS,CAROLINA,13.66666667,123.25,4/23/1944,INSTALLATIONS,
USA,CELEBES ISLANDS,LOLOBATA,1.25,128.1166667,12/21/1944,AIRDROME,
USA,PHILIPPINE ISLANDS,BADUTO,16.91666667,120.75,5/13/1945,UNIDENTIFIED TARGET,
USA,BURMA,PROME,18.81666667,95.21666667,12/30/1944,RAILROAD,
USA,CHINA,LUNGLING,24.63333333,98.83333333,9/12/1944,ARTILLERY EMPLACEMEN,
USA,GILBERT ISLANDS,TARAWA,1.5,173,6/17/1943,RUNWAY AND AMMO DUMP,
USA,BURMA,KYUNGON,19.03333333,96.36666667,3/12/1945,UNIDENTIFIED TARGET,
USA,CHINA,KIYANG,27.08333333,118.0333333,9/8/1944,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,RABAUL,-4.229885,152.185671,11/15/1942,SHIPPING,
USA,BURMA,RANGDON,16.8,96.15,5/22/1943,AREA,
GREAT BRITAIN,LIBYA,BENGHAZI,32.11,20.05,9/14/1941,,
AUSTRALIA,TIMOR,DILI,-8.55,125.66667,10/27/1942,VILLAGE,
USA,PHILIPPINE ISLANDS,VERDE ISLAND,13.58333333,121.0833333,3/31/1945,UNIDENTIFIED TARGET,
USA,FORMOSA AND RYUKYU ISLANDS,23 55 N 120 4,23.91666667,120.6833333,5/26/1945,SUGAR PLANT,
USA,CHINA,ANJEN,26.68333333,113.1,8/28/1944,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,WAWA,14.75,121.1666667,2/7/1945,AIR STRIP,
USA,NEW GUINEA,MOM,-3.583333333,143.75,7/21/1944,UNIDENTIFIED TARGET,
USA,JAPAN,WAKAYAMA,34.23333333,135.1666667,7/9/1945,URBAN AREA,
USA,NEW GUINEA,SUAIN,-3.333333333,143,5/20/1944,STORES SUPPLIES,
USA,JAVA,LAUTEM,-8.4,126.9,11/2/1944,UNIDENTIFIED TARGET,
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,10/25/1944,AREA,
USA,PHILIPPINE ISLANDS,BATAAN,13.66666667,121.4166667,2/10/1945,AMMUNITION DUMP,
USA,NEW GUINEA,GESER,-3.866666667,130.8666667,11/13/1943,UNIDENTIFIED TARGET,
USA,GILBERT ISLANDS,TARAWA,1.5,173,11/14/1943,UNIDENTIFIED TARGET,
USA,MARCUS ISLANDS,MARCUS ISLAND,24.2,153.75,6/25/1945,ANTI AIRCRAFT GUNS,
USA,CAROLINE ISLANDS,DUBLON ISLAND,7.383333333,151.8833333,6/11/1944,AA INST,
USA,SOLOMON ISLANDS,NAURU ISLAND,-8.283333333,157.2166667,12/4/1943,ENEMY INSTALLATIONS,
USA,SOLOMON ISLANDS,KAHILI,-6.8,155.7833333,6/13/1943,AIRDROME,
GREAT BRITAIN,BURMA,KALEWA R/CRAFT,23.2,94.3,5/27/1942,SHIPPING,
USA,PHILIPPINE ISLANDS,TUAO,17.75,121.4166667,4/12/1945,AMMUNUTION DUMP,
USA,PHILIPPINE ISLANDS,PUERTA PRINCESA,9.75,118.75,11/14/1944,AIRSTRIP,
USA,BURMA,PAMAO,22.75,97,12/21/1944,ROAD BRIDGE,
USA,PHILIPPINE ISLANDS,BACOLOD,10.66666667,122.9166667,6/3/1945,GROUND SUPPORT,
USA,CAROLINE ISLANDS,DUBLON ISLAND,7.383333333,151.8833333,7/25/1944,TOWN,
USA,BURMA,KUTKAI,23.45,97.93333333,11/14/1944,STORAGE,
USA,NEW GUINEA,MADANG,-5.25,145.8333333,5/20/1943,BARGES,
USA,CHINA,KIANGHWA,25.25,111.45,9/22/1944,BRIDGE,
USA,CELEBES ISLANDS,GAMTJAKA,1.533333333,128.7333333,10/21/1944,RADAR STATION,
USA,CHINA,HANKON,30.6,114.3333333,12/11/1943,DOCK,
USA,BURMA,PROME,18.81666667,95.21666667,1/22/1944,R R YARDS,
USA,PHILIPPINE ISLANDS,BATON,8.25,123.75,3/8/1943,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,VUNAKANAU,-4.316666667,152.1833333,5/21/1944,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,PORAC,15.08333333,120.5,1/21/1945,UNIDENTIFIED TARGET,
USA,FORMOSA AND RYUKYU ISLANDS,FORMOSA,24,121,6/13/1945,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,METROPOLITAN,14.83333333,121.15,4/27/1945,TROOPS,
USA,BURMA,LOILAW,25.26666667,96.91666667,6/26/1944,SUPPLY DUMP,
USA,CHINA,KAIFENG,34.8,114.35,9/26/1944,MISCELLANEOUS TARGET,
NEW ZEALAND,NEW IRELAND,KAVIENG SWEEP,-2.583333333,150.8333333,3/23/1945,VARIOUS TARGETS,
USA,CHINA,MENGHU,22.4,101.6833333,10/28/1944,UNIDENTIFIED TARGET,
USA,BURMA,HOMALIN,24.86666667,94.91666667,10/8/1943,UNIDENTIFIED TARGETS,
USA,FORMOSA AND RYUKYU ISLANDS,TOYOHARA,24.25,120.7166667,7/2/1945,AIDROME,
USA,JAPAN,SUGA JIMA,34.5,136.9,1/8/1945,ISLAND,
USA,PHILIPPINE ISLANDS,SANTIAGO,16.399722,119.938611,4/19/1945,SUPPLY AREA,
USA,NEW GUINEA,YALAU,-5.516666667,146.15,3/5/1944,SUPPORT LANDING,
USA,CAROLINE ISLANDS,PONAPE ISLAND,7,158.4166667,4/29/1944,AIRFIELD,
USA,NEW GUINEA,BOGADJIM,-5.416666667,145.75,8/5/1943,AREA,
USA,CELEBES ISLANDS,MANDAI,-5.066666667,119.5166667,4/4/1945,AIRDROME,
USA,NEW GUINEA,LAE A/D,-6.74143,146.989626,7/4/1942,AIRFIELD,
USA,MARIANAS ISLANDS,GUAM ISLAND,13.5,144.8333333,5/6/1944,UNIDENTIFIED TARGET,
USA,MARSHALL ISLANDS,EMIDJ ISLAND,6,169.7333333,3/26/1944,INSTALLATIONS,
USA,CELEBES ISLANDS,PARE PARE,-4.016666667,119.6166667,5/27/1945,UNIDENTIFIED TARGET,
USA,BURMA,AUCHE,25.71666667,96.85,4/10/1944,UNIDENTIFIED TARGET,
USA,CAROLINE ISLANDS,PONAPE ISLAND,7,158.4166667,4/13/1944,UNIDENTIFIED TARGET,
USA,BURMA,NAMHAI,20.91666667,97.86666667,1/16/1945,UNIDENTIFIED TARGET,
USA,BORNEO,TUARAN,6.183333333,116.2,6/5/1945,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,CALARIAN,8.416666667,123.1666667,3/9/1945,AIRDROME,
USA,MANCHURIA,DAIREN,38.93333333,121.65,12/21/1944,MISCELLANEOUS TARGET,
USA,BURMA,PAHOK,23.8,96.9,1/6/1944,AREA,
USA,SOLOMON ISLANDS,BOUGAINVILLE,-6.2,155.25,10/15/1943,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,LEGASPI,13.16666667,123.75,4/7/1945,UNIDENTIFIED TARGET,
USA,JAVA,LAUTEM,-8.4,126.9,11/13/1944,AIRDROME,
USA,CHINA,HONAN,23.08333333,113.2666667,7/4/1945,UNIDENTIFIED TARGET,
USA,SOLOMON ISLANDS,KAHILI,-6.8,155.7833333,6/9/1944,AIRDROME,
USA,ITALY,TERMINI,37.98,13.68,7/15/1943,,10
USA,BURMA,PAHOK,23.8,96.9,3/11/1944,OIL SUPPLY DUMPS,
USA,PHILIPPINE ISLANDS,LITTLE BATAN,13.25,124,4/1/1945,GROUND SUPPORT,
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,10/6/1943,TARGET RIDGE,
USA,PHILIPPINE ISLANDS,LIBBY,7.05,125.5333333,2/6/1945,AIRDROME,
USA,PHILIPPINE ISLANDS,MARIKINA RIVER,14.66666667,121.0833333,6/10/1945,RIVER AREA,
USA,SOLOMON ISLANDS,BUKA,-5.416666667,154.7,2/12/1944,AIRDROME,
USA,PHILIPPINE ISLANDS,CLARK FIELD,15.16666667,120.5833333,2/22/1945,TROOP POSITIONS,
SOUTH AFRICA,CRETE,MALEME,35.53,23.83,5/25/1941,,
USA,BISMARK ARCHIPELAGO,TOBERA,-4.4,152.3166667,7/12/1944,AA GUN POSITIONS,
USA,BURMA,NANTAN,24.4,97.016667,12/8/1944,UNIDENTIFIED TARGET,
USA,BURMA,KAYIN,16.55,97.98333333,10/29/1944,BUILDINGS,
USA,PHILIPPINE ISLANDS,ANGADANAN,16.75,121.75,6/5/1945,ROAD,
USA,MARSHALL ISLANDS,JALUIT ATOLL,6.05,169.5666667,4/5/1944,RADIO STATIONS,
USA,CHINA,HENGYANG,26.93333333,112.5833333,8/14/1944,AREA,
USA,BORNEO,MENSALOENG,3.75,116.733333,6/5/1945,TOWN,
USA,BURMA,CHAUK,20.9,98.81666667,6/10/1944,BOC GASOLINE PLANT,
USA,CELEBES ISLANDS,LIANG,-3.516666667,128.3,1/15/1945,AIRDROME,
USA,KURILE ISLANDS,MASU GAWA,50.36666667,155.9,6/3/1945,FISHERY,
USA,MARSHALL ISLANDS,LELE,5.333333333,163.0333333,3/10/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,SOPUTA TRACK,-8.733333333,148.35,11/22/1942,,
USA,BURMA,MANPONG,23.341402,97.961293,11/22/1944,VILLAGE,
USA,BURMA,NANYASEIK,25.61666667,96.58333333,4/3/1944,UNIDENTIFIED TARGET,
USA,ITALY,CASSINO,41.48,13.82,3/15/1944,,20
USA,PHILIPPINE ISLANDS,BINALBAGAN,10.16666667,122.8333333,1/21/1945,AIRDROME,
AUSTRALIA,BISMARK ARCHIPELAGO,ARAWE: ENEMY VESSEL,-6.166438,149.03341,12/21/1942,ENEMY SHIPPING,
USA,JAVA,LAUTEM,-8.4,126.9,12/7/1944,AIRDROME,
USA,ITALY,NAPLES,40.84,14.28,2/7/1943,,710
USA,FORMOSA AND RYUKYU ISLANDS,TAKAO,22.63333333,120.2833333,6/3/1945,WAREHOUSE,
USA,CHINA,WEST RIVER,23,109.6333333,11/10/1944,UNIDENTIFIED TARGET,
USA,BORNEO,BALIK PAPAN,-1.25,116.8333333,10/13/1944,PANDANSARI REFINERY,
USA,CHINA,LUCHAI,24.53333333,109.6333333,6/25/1945,SUPPLY DUMP,
GREAT BRITAIN,LIBYA,DERNA,32.77,22.63,4/16/1941,,
USA,PHILIPPINE ISLANDS,BACOLOD,10.66666667,122.9166667,12/12/1944,AIRDROME,
USA,PHILIPPINE ISLANDS,GUBANO,16.83333333,120.6666667,6/20/1945,ENEMY POSITIONS,
USA,ITALY,ATINA,41.62,13.8,12/30/1943,,820
USA,BURMA,MEZA,24.15,96.03333333,2/20/1943,RAILROAD CUT,
USA,PHILIPPINE ISLANDS,KABAYAN,16.66666667,120.8333333,8/3/1945,TOWN,
USA,SUMATRA,PANGKALENBRANDE,4.033333333,98.26666667,8/10/1944,PANGKALEN REF,
USA,CELEBES ISLANDS,MITI ISLAND,1.566666667,128.0666667,9/11/1944,AIRDROME,
USA,BISMARK ARCHIPELAGO,TOBERA,-4.4,152.3166667,2/14/1944,AIRDROME DISPERSAL,
GREAT BRITAIN,ALBANIA,"""BESIST"," CAMSISTI & CAUTSISTI""",40.56,19.53,2/17/1941,,
USA,PHILIPPINE ISLANDS,APARRI,18.33333333,121.6666667,2/15/1945,AIRDROME,
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,2/1/1945,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,KIANGAN,16.75,121.0833333,7/2/1945,WOODED AREA,
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,6/1/1945,UNIDENTIFIED TARGET,
AUSTRALIA,NEW GUINEA,BUNA AREA,-8.682686,148.423689,12/10/1942,ENEMY POSITIONS,
USA,CHINA,KIYANG,27.08333333,118.0333333,9/10/1944,UNIDENTIFIED TARGET,
GREAT BRITAIN,BURMA,MAYMYO,22.03333333,96.46666667,4/5/1944,,
USA,NEW GUINEA,BUT,-3.416666667,143.25,3/7/1945,VILLAGE,
USA,NEW GUINEA,ASBAKIN,-0.75,131.6833333,2/11/1945,VILLAGE,
USA,BURMA,LAWA,24.45,96.36666667,12/30/1944,TOWN,
USA,PALAU ISLANDS,KOROR ISLAND,7.333333333,134.5,8/18/1944,INSTALLATIONS,
USA,PHILIPPINE ISLANDS,SAN MATEO,18.08333333,120.5833333,4/29/1945,UNIDENTIFIED TARGET,
USA,NEW GUINEA,SUAIN,-3.333333333,143,6/17/1944,STORES SUPPLIES,
USA,CHINA,LAOHOKOW,32.38333333,111.6333333,4/28/1945,JAP POSITIONS,
USA,BORNEO,LANOKON,6.5,116.6666667,7/18/1945,AREA,
USA,NEW GUINEA,BABO,-2.583333333,133.4166667,10/22/1944,AIRDROME,
USA,CHINA,YOCHOW,29.38333333,113.15,7/28/1944,RAILROAD YARDS,
USA,NEW GUINEA,RANIMBOA,-3.516666667,143.4833333,1/21/1945,UNIDENTIFIED TARGET,
USA,NEW GUINEA,MUSHU ISLAND,-3.416666667,143.5833333,12/19/1944,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,RAPOPO,-4.333333333,152.35,6/8/1944,GUN POSITIONS,
USA,CELEBES ISLANDS,MAPANGET,1.533333333,124.9333333,9/22/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,SUAIN,-3.333333333,143,6/5/1944,BIVOUAC AREA,
USA,SOLOMON ISLANDS,BONIS,-5.433333333,154.7166667,2/12/1944,AIRDROME,
USA,BURMA,HOPIN,24.98333333,96.53333333,5/9/1944,UNIDENTIFIED TARGET,
USA,CHINA,CANTON,23.18333333,113.2333333,9/29/1944,AIRDROME,
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,7/12/1943,UNIDENTIFIED TARGET,
USA,CHINA,LIUCHOW,20.91666667,110.05,7/11/1943,UNIDENTIFIED TARGET,
USA,BORNEO,BALIK PAPAN,-1.25,116.8333333,7/9/1945,TOWN,
USA,CAROLINE ISLANDS,TRUK ISLAND,7.5,151.8333333,8/21/1944,UNIDENTIFIED TARGET,
USA,CHINA,HENGYANG,26.93333333,112.5833333,7/18/1944,AREA,
USA,CELEBES ISLANDS,LIANG,-3.516666667,128.3,10/9/1944,UNIDENTIFIED TARGET,
USA,CELEBES ISLANDS,ALMAHERA,1,128,8/9/1944,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,ROTTOCK BAY,-5.5,148.7666667,12/26/1944,VILLAGES AREA,
USA,NEW GUINEA,BUT,-3.416666667,143.25,5/27/1944,JAP CONCENTRATION,
USA,BISMARK ARCHIPELAGO,WALLIS ISLAND,-4.8,152.8666667,6/27/1945,UNIDENTIFIED TARGET,
USA,FORMOSA AND RYUKYU ISLANDS,KIIRUN,25.13333333,121.7333333,5/21/1945,PORT,
USA,PALAU ISLANDS,PELELIU ISLAND,7,134.2333333,9/5/1944,AIRDROME,
USA,PHILIPPINE ISLANDS,CORREGIDOR,14.41666667,120.5833333,2/13/1945,DOCK,
GREAT BRITAIN,LIBYA,MARBLE ARCH L.G.,30.46,18.56,4/5/1941,,
USA,PHILIPPINE ISLANDS,16 09 N 120 5,16.15,120.95,5/12/1945,GUN POSITION,
USA,FORMOSA AND RYUKYU ISLANDS,ENSUI,23.31666667,120.2666667,5/27/1945,TACTICAL TARGET,
USA,BURMA,PYINMANA,19.73333333,96.15,3/12/1945,RAIL JUNCTION,
USA,NEW GUINEA,KAMIRI,-0.95,134.8,6/25/1944,ANTI AIRCRAFT,
GREAT BRITAIN,GREECE,PIAMBINO HARBOR,42.92,10.53,4/28/1944,,
GREAT BRITAIN,ROMANIA,PLOESTI XENIA,44.93,26.05,8/17/1944,,
USA,PHILIPPINE ISLANDS,IPO,14.83333333,121.1666667,6/2/1945,TOWN,
USA,FRENCH INDO CHINA,1 40 N 108 0,10.66666667,108,3/28/1945,UNIDENTIFIED TARGET,
USA,CHINA,KWEILIN,25.23333333,110.2,7/20/1945,SUPPLY DUMPS,
USA,SOLOMON ISLANDS,PELAU ISLAND,-5.216666667,159.45,7/7/1944,UNIDENTIFIED TARGET,
USA,FORMOSA AND RYUKYU ISLANDS,TAKAO,22.63333333,120.2833333,3/28/1945,SHIP YARDS,
USA,BURMA,WANLING,21.01666667,98.06666667,12/28/1944,STORES AMMUNITION AR,
USA,BURMA,PINWE,24.33333333,96.2,11/23/1944,RAIL STATION,
USA,PHILIPPINE ISLANDS,14 53 N 121 0,14.88333333,121.15,5/19/1945,GROUND SUPPORT,
USA,BURMA,TANGTONG,25.91666667,98.33333333,1/26/1945,UNIDENTIFIED TARGET,
USA,NEW GUINEA,UTAROM,-3.6166666,133.666666,9/11/1944,AIRDROME,
USA,JAVA,BANOA,-8.6,115.3,11/20/1944,UNIDENTIFIED TARGET,
USA,JAPAN,TOKYO,35.66666667,139.7,3/5/1945,URBAN AREA,
USA,NEW GUINEA,BUT,-3.416666667,143.25,7/5/1944,JAP CONCENTRATION,
USA,CHINA,YOCHOW,29.38333333,113.15,1/20/1945,RAILROAD,
USA,PHILIPPINE ISLANDS,BOSO BOSO,14.66666667,121.25,4/11/1945,AREA,
USA,CELEBES ISLANDS,TITILEGAN RIVER,1.216666667,128.1833333,10/29/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,JACOBSENS,-6.716666667,146.9833333,9/8/1943,UNIDENTIFIED TARGET,
USA,BURMA,KATHA,24.16666667,96.35,9/27/1944,UNIDENTIFIED TARGET,
USA,JAPAN,KOKUBU,31.71666667,130.75,5/2/1945,KOKUBU AIRFIELD,
USA,SOLOMON ISLANDS,BUKA,-5.416666667,154.7,10/25/1943,AIRDROME,
USA,PHILIPPINE ISLANDS,MARIVELES,14.41666667,120.5,2/15/1945,AIR STRIP,
USA,BORNEO,MIRI,4.416666667,114,1/26/1945,UNIDENTIFIED TARGET,
GREAT BRITAIN,IRAQ,CASSELS POST,33.38,44.5,5/22/1941,,
USA,BURMA,MYOHAUNG,21.935916,96.078743,5/6/1943,RAILROAD JUNCTION,
USA,CHINA,LINFEN,36.08333333,111.5166667,4/16/1945,UNIDENTIFIED TARGET,
USA,NEW GUINEA,HANSA BAY,-4.166666667,144.9166667,5/2/1944,UNIDENTIFIED TARGET,
USA,CHINA,HENGYANG,26.93333333,112.5833333,7/19/1944,SHIPPING,
GREAT BRITAIN,BURMA,TIDDIM,23.375833,93.653889,5/5/1944,MT,
USA,JAPAN,WAKAYAMA,34.23333333,135.1666667,8/9/1945,SHIMOTSU REFINERY,
USA,JAPAN,TOYOHASHI,34.76666667,137.4,12/21/1944,URBAN AREA,
USA,NEW GUINEA,WAREN,-2.25,136.3333333,9/7/1944,AIRDROME,
USA,CELEBES ISLANDS,LANGOAN,1.15,124.8166667,9/19/1944,AIRDROME,
USA,PHILIPPINE ISLANDS,LINGAYEN GULF,16.5,119.9166667,1/2/1945,UNIDENTIFIED TARGET,
USA,JAPAN,MATSUYAMA,33.83333333,132.7666667,7/23/1945,DISPERSAL AREA,
USA,CORAL SEA AREA,MT ORA,-20.5,164.2333333,3/30/1945,UNIDENTIFIED TARGET,
USA,CAROLINE ISLANDS,PARAM ISLAND,7.366666667,151.8,5/11/1945,AIRDROME,
USA,BURMA,BHAMO,24.25,97.23333333,10/29/1944,AREA,
USA,FORMOSA AND RYUKYU ISLANDS,TAKAO,22.63333333,120.2833333,3/26/1945,SHIP WAREHOUSE,
USA,LIBYA,CONVOY,33,20,7/9/1942,,730
USA,FRENCH INDO CHINA,PHULANG THUONG,21.26666667,106.2666667,7/1/1944,BRIDGE,
USA,JAPAN,TOKYO,35.86666667,139.5333333,4/13/1945,ARSENAL AREA,
USA,NEW GUINEA,MOM,-3.583333333,143.75,6/25/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,TADJI,-3.166666667,142.4166667,4/9/1944,AIRDROME,
USA,BISMARK ARCHIPELAGO,3 15 S 145 1,-3.25,145.2,6/28/1945,UNIDENTIFIED TARGET,
USA,CHINA,SIANG KIANG,26.16666667,111.5,6/10/1944,UNIDENTIFIED TARGET,
USA,BURMA,DABAING,20.16666667,92.83333333,2/23/1944,LAND GROUND,
