COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,PHILIPPINE ISLANDS,SARANGANI BAY,6.083333333,125.1666667,1/18/1944,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,8/13/1943,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,ZAMBOANGA,6.916666667,122.1666667,3/9/1945,UNIDENTIFIED TARGET,
USA,BORNEO,MAHAKAM RIVER,-0.45,117.0333333,7/18/1945,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,MARIVELES,14.41666667,120.5,2/10/1945,PERSONNEL,
USA,JAPAN,OITA,33.23333333,131.6,5/17/1945,URBAN AREA,
USA,FORMOSA AND RYUKYU ISLANDS,TAIHOKU,25.03333333,121.5,5/8/1945,GOVERMENT CENTER,
USA,CHINA,SINSHIH,30.6,120.25,7/25/1944,UNIDENTIFIED TARGET,
USA,SOLOMON ISLANDS,BUKA,-5.416666667,154.7,6/13/1944,AIRDROME,
USA,BISMARK ARCHIPELAGO,DAGI RIVER,-5.666666667,150.25,11/2/1943,UNIDENTIFIED TARGET,
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,11/19/1944,UNIDENTIFIED TARGET,
USA,CELEBES ISLANDS,PALOPO,-3,120.25,10/25/1944,LUMBER MILL,
USA,NEW GUINEA,CAPE AWOERA,-4,134.5,9/2/1944,UNIDENTIFIED,
AUSTRALIA,NEW GUINEA,BUNA AIRFIELD,-8.682686,148.423689,8/28/1942,AIRFIELD,
USA,BURMA,HAINANG,21.03333333,97.51666667,5/22/1945,TROOP CONCENTRATION,
USA,KURILE ISLANDS,SURIBACHI,50.2,155.7333333,12/6/1944,UNIDENTIFIED TARGET,
AUSTRALIA,NEW GUINEA,KOEPANG,-8.666666667,151.3333333,6/15/1942,AIRFIELD,
USA,BORNEO,VICTORIA,5.283333333,115.2333333,1/14/1945,DOCK AREA,
USA,FORMOSA AND RYUKYU ISLANDS,HEITO,22.66666667,120.4833333,1/22/1945,FUEL AMMUNITION,
USA,BURMA,LASHIE,22.979477,97.75255,11/23/1944,STORAGE AREA,
USA,BISMARK ARCHIPELAGO,VUNAKANAU,-4.325175,152.131516,10/17/1942,AIRFIELD,
USA,FORMOSA AND RYUKYU ISLANDS,BONGARI SHA,22.48333333,120.65,6/2/1945,VILLAGE,
USA,PHILIPPINE ISLANDS,BABUYAN ISLAND,19.16666667,121.5,3/5/1945,UNIDENTIFIED TARGET,
USA,JAPAN,HAMAMATSU,34.7,137.7333333,6/8/1945,URBAN AREA,
USA,MARSHALL ISLANDS,MALOELAP ATOLL,8.75,171.05,4/17/1944,HEAVY ANTI AIRCRAFT,
USA,KURILE ISLANDS,KATAOKA,50.71666667,156.1833333,2/5/1945,NAVAL BASE,
USA,NEW GUINEA,KAI ISLAND,-5.666666667,132.9166667,3/30/1944,LANGGOER AIRDROME,
USA,BISMARK ARCHIPELAGO,LORENGAU,-2.016666667,147.2666667,2/11/1944,AIRDROME,
USA,NEW GUINEA,MANOKWARI,-0.833333333,134.0833333,7/4/1944,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,KERAVIA BAY,-4.283333333,152.2,6/10/1944,SUPPLY AREA,
USA,PHILIPPINE ISLANDS,KABACAN,7.166666667,124.8333333,4/17/1945,TOWN,
USA,NEW GUINEA,BUNA,-8.666666667,148.4166667,11/19/1942,UNIDENTIFIED TARGET,
USA,NEW GUINEA,BUT,-3.416666667,143.25,4/7/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,KAMIRI,-0.95,134.8,7/1/1944,ANTI AIRCRAFT,
USA,NEW GUINEA,ALEXISHAFEN,-5.083333333,145.7833333,9/1/1943,PLANTATION BUILDINGS,
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,8/21/1943,UNIDENTIFIED TARGET,
USA,NEW GUINEA,FAK FAK,-2.916666667,132.25,7/22/1944,VILLAGE,
USA,NEW GUINEA,SAKULA RIVER,-4.2,144.8833333,5/21/1944,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,TUMAUINI,17.25,121.8333333,6/10/1945,GROUND SUPPORT,
