COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,BISMARK ARCHIPELAGO,BORAM,-3.183333333,151.6166667,5/24/1943,151.6166667,360 BG
USA,BORNEO,BORNEO,0.01,114.01,7/5/1945,114.01,868 BS
USA,VOLCANO AND BONIN ISLANDS,CHICHI JIMA,27.06666667,142.2166667,2/16/1945,142.2166667,42 BS
USA,BISMARK ARCHIPELAGO,LORENGAU,-2.016666667,147.2666667,2/13/1944,147.2666667,403 BS
USA,CHINA,HENGYANG,26.93333333,112.5833333,9/1/1944,112.5833333,76 FS
USA,PHILIPPINE ISLANDS,INFANTA,14.75,121.6666667,7/11/1945,121.6666667,36 FS
USA,FORMOSA AND RYUKYU ISLANDS,KOTO SHO ISLAND,22.05,121.5333333,4/8/1945,121.5333333,403 BS
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,10/12/1944,145.7833333,27 BS
USA,PHILIPPINE ISLANDS,LUZON,15,121,8/10/1945,121,68 FS
NEW ZEALAND,BISMARK ARCHIPELAGO,RATAVAL,-4.183333333,152.15,7/30/1944,152.15,NO. 19 SQUADRON RNZAF
USA,CHINA,ANYANG,29.45,118.8,7/15/1945,118.8,529 FS
USA,MARSHALL ISLANDS,MILLI ISLAND,7.583333333,171.7333333,1/16/1944,171.7333333,45 FS
USA,PHILIPPINE ISLANDS,SILAY,10.8,122.9666667,12/22/1944,122.9666667,867 BS
USA,NEW GUINEA,KAMIRIK,-0.95,134.8,6/6/1944,134.8,89 S
USA,FORMOSA AND RYUKYU ISLANDS,TAKAO,22.63333333,120.2833333,6/5/1945,120.2833333,65 BS
USA,CELEBES ISLANDS,HAROEKOE,-3.6,128.425082,10/14/1944,128.425082,310 FS
USA,PHILIPPINE ISLANDS,CABALLO,14.33333333,120.5833333,2/16/1945,120.5833333,675 S
USA,EGYPT,ALAM-EL HAIFA RIDGE,30.45,28.97,9/1/1942,28.97,12 BG
USA,NEW GUINEA,MALAMEL ISLAND,-5.133333333,145.8166667,1/12/1944,145.8166667,408 BS
USA,CHINA,HENGYANG,26.93333333,112.5833333,8/5/1944,112.5833333,118 FS
USA,MARSHALL ISLANDS,EMIDJ ISLAND,6,169.7333333,2/16/1944,169.7333333,45 FS
USA,ITALY,MANZIANA,42.05,12.15,4/8/1944,12.15,27 FBG/86 FBG
USA,PHILIPPINE ISLANDS,SASA,7.116666667,125.65,11/22/1944,125.65,320 BS
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,3/22/1945,120.9166667,2 BS
USA,VOLCANO AND BONIN ISLANDS,CHICHI JIMA,27.06666667,142.2166667,3/13/1945,142.2166667,431 BS
USA,FRENCH INDO CHINA,SAIGON,10.81666667,106.6833333,5/3/1945,106.6833333,321 BS
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,1/2/1945,141.3166667,500 BG
USA,CELEBES ISLANDS,KAIRATOE,-3.35,128.359038,1/23/1945,128.359038,67 FS
USA,NEW GUINEA,ALEXISHAFEN,-5.083333333,145.7833333,2/4/1944,145.7833333,501 BS
USA,ALEUTIAN ISLANDS,KISKA ISLAND,52,177.5,8/12/1943,177.5,407 G
USA,BURMA,KAWNGHKA,24.076342,98.148582,12/4/1944,98.148582,89 FS
USA,SOLOMON ISLANDS,KOROVO,-7.083333333,155.8833333,12/20/1943,155.8833333,70 BS
USA,NEW GUINEA,BABO,-2.583333333,133.4166667,11/1/1944,133.4166667,13 BS
USA,BORNEO,SANGA SANGA,-0.6,117.2833333,2/28/1945,117.2833333,42 BG
USA,FORMOSA AND RYUKYU ISLANDS,KILRUN,25.13333333,121.7333333,6/18/1945,121.7333333,403 BS
USA,CELEBES ISLANDS,AMBON,-3.700432,128.17547,10/18/1944,128.17547,100 BS
USA,ITALY,COSENZA,39.27,16.25,7/4/1943,16.25,27 FBG
USA,NEW GUINEA,SANANANDA ROADS,-8.666666667,148.4166667,12/3/1942,148.4166667,89 S
USA,BURMA,MINGALADON,16.9,96.13333333,4/1/1945,96.13333333,1 FS
USA,PHILIPPINE ISLANDS,SULU SEA,5.7373,120.8033,10/24/1944,120.8033,868 BS
USA,BISMARK ARCHIPELAGO,LAE,-6.75,147,12/21/1943,147,7 FS
USA,JAPAN,ARASAKI,31,130.7,7/29/1945,130.7,501 BS
USA,CHINA,MENGHU,22.4,101.6833333,10/24/1944,101.6833333,118 FS
USA,PHILIPPINE ISLANDS,CORREGIDOR,14.41666667,120.5833333,2/18/1945,120.5833333,460 FS
USA,CELEBES ISLANDS,GALELA,1.833333333,127.8,8/23/1944,127.8,408 BS
USA,BISMARK ARCHIPELAGO,REIN BAY,-5.566666667,149.2,11/5/1944,149.2,498 BS
USA,CHINA,TUNGANHSIEN,26.18333333,111.25,9/12/1944,111.25,76 FS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,3/13/1944,143.6666667,89 S
USA,PHILIPPINE ISLANDS,CABCABEN,14.5,120.5833333,2/8/1945,120.5833333,342 FS
USA,BURMA,MYITKYINA,25.38333333,97.4,7/7/1944,97.4,528 S
USA,PHILIPPINE ISLANDS,TANAUAN,14.08333333,121.1666667,1/19/1945,121.1666667,17 BS
USA,BISMARK ARCHIPELAGO,RABAUL,-4.2,152.2,6/22/1944,152.2,13 C
USA,BURMA,MAYMYO,22.03333333,96.46666667,12/9/1943,96.46666667,22 BS
USA,VOLCANO AND BONIN ISLANDS,CHICHI JIMA,27.06666667,142.2166667,5/31/1945,142.2166667,47 FS
USA,PHILIPPINE ISLANDS,SOLANO,18.25,122.3333333,6/18/1945,122.3333333,460 FS
USA,JAPAN,TOKUSHIMA,34.06666667,134.5666667,6/6/1945,134.5666667,313 BW
USA,NEW GUINEA,KAUP,-3.75,144.05,6/10/1944,144.05,310 FS
USA,NEW GUINEA,PORT MORESRY,-9.416666667,147.1333333,1/22/1943,147.1333333,400 BS
USA,BURMA,MONGMIT,23.11666667,96.66666667,11/27/1944,96.66666667,90 FS
USA,SOLOMON ISLANDS,BOUGAINVILLE,-6.2,155.25,12/19/1943,155.25,5 BS
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,5/20/1945,120.9166667,310 FS
USA,BURMA,SAYE,22,95.91666667,5/19/1944,95.91666667,490 BS
USA,SOLOMON ISLANDS,REKATA BAY,-7.566666667,158.6833333,8/26/1943,158.6833333,371 BS
USA,CELEBES ISLANDS,NAMLEA,-3.266666667,127.1,9/16/1944,127.1,70 FS
USA,JAPAN,SHIZUOKA,34.96666667,138.3666667,5/23/1945,138.3666667,73 BW
USA,PHILIPPINE ISLANDS,BACOLOD,10.66666667,122.9166667,4/8/1945,122.9166667,38 FS
USA,MARSHALL ISLANDS,MILLI ISLAND,6.083333333,171.7333333,12/4/1943,171.7333333,38 BS
USA,PHILIPPINE ISLANDS,LUZON,15,121,8/1/1945,121,339 FS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,4/21/1944,143.6666667,320 BS
USA,PHILIPPINE ISLANDS,KIANGAN,16.75,121.0833333,7/23/1945,121.0833333,8 FS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,5/24/1944,143.6666667,672 S
USA,FORMOSA AND RYUKYU ISLANDS,TOYOHARA,24.25,120.7166667,3/30/1945,120.7166667,405 BS
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,2/2/1945,141.3166667,98 BS
USA,BISMARK ARCHIPELAGO,3 15 S 145 1,-3.25,145.2,6/28/1945,145.2,63 BS
USA,FRENCH INDO CHINA,HON GAY,20.98333333,107.0833333,6/8/1943,107.0833333,11 BS
USA,CHINA,HENGYANG,26.93333333,112.5833333,7/1/1944,112.5833333,11 BS
USA,BISMARK ARCHIPELAGO,DOGOMAN RIVER,-4.733333333,145.85,11/7/1943,145.85,64 BS
USA,NEW GUINEA,UTAROM,-3.6166666,133.666666,5/7/1944,133.666666,529 BS
USA,MARIANAS ISLANDS,GUAM ISLAND,13.5,144.9333333,8/5/1944,144.9333333,73 FS
USA,CHINA,SINSIANG,35.31666667,113.8833333,8/14/1945,113.8833333,528 FS
USA,MARSHALL ISLANDS,MILLI ISLAND,6.083333333,171.7333333,3/13/1944,171.7333333,820 BS
USA,CELEBES ISLANDS,BOELA,-3.166666667,130.4666667,9/25/1944,130.4666667,70 BS
USA,ITALY,AVELLINO,40.9,14.78,9/22/1943,14.78,27 FBG
USA,NEW GUINEA,WAKOE ISLAND,-1.916666667,139,5/16/1944,139,822 BS
USA,NEW GUINEA,SARMI,-1.833333333,138.75,7/6/1944,138.75,321 BS
USA,JAPAN,KAWASAKI,35.53333333,139.7,4/3/1945,139.7,73 BW
USA,NEW GUINEA,WAKDE ISLAND,-1.916666667,139,5/14/1944,139,71 BS
USA,PHILIPPINE ISLANDS,IPO,14.83333333,121.1666667,5/18/1945,121.1666667,432 FS
USA,BURMA,KYAWNGSU,22.65,97.28333333,2/24/1945,97.28333333,90 FS
USA,BORNEO,BRUNEI BAY,4.916666667,114.9166667,11/16/1944,114.9166667,370 BS
USA,NEW GUINEA,BUNA BUN,-4.583333333,145.5833333,4/29/1944,145.5833333,340 FS
GREAT BRITAIN,ALBANIA,SARANDE,39.86,20.01,12/1/1940,20.01,84 SQDN
USA,NEW GUINEA,KORNASOREN,-0.916666667,134.8333333,6/30/1944,134.8333333,320 BS
USA,BURMA,PAUK KAN,21.1,95.9333333,8/4/1943,95.9333333,22 BS
USA,JAPAN,KURUME,33.3,130.5166667,5/11/1945,130.5166667,98 BS
GREAT BRITAIN,BURMA,KALEWA,23.2,94.3,4/3/1944,94.3,215
USA,KURILE ISLANDS,ARAHATA SAKI,50.5,156.1666667,8/27/1944,156.1666667,77 BS
USA,BISMARK ARCHIPELAGO,KERAVIA BAY,-4.283333333,152.2,4/3/1944,152.2,13 C
USA,CHINA,HAINAN ISLAND,30.6,114.3333333,12/27/1944,114.3333333,11 BS
USA,BURMA,NAUNGLETGYI,24.16666667,96.73333333,11/2/1944,96.73333333,90 FS
USA,PHILIPPINE ISLANDS,PAYAWAN,16.66666667,121.1666667,6/28/1945,121.1666667,36 FS
USA,SOLOMON ISLANDS,SAUA RIVER,-6.25,155.1833333,2/24/1944,155.1833333,394 BS
USA,CHINA,HBAICHING,35.1,112.9166667,4/12/1945,112.9166667,529 FS
USA,BORNEO,LAHAT,5.083333333,118.3333333,1/15/1945,118.3333333,5 BG
USA,NEW GUINEA,UTAROM,-3.6166666,133.666666,8/3/1944,133.666666,418 BS
USA,JAPAN,OMURA,32.91666667,129.9333333,11/21/1944,129.9333333,462 BG
USA,BISMARK ARCHIPELAGO,ST GEORGES CHANNEL,-5.283333333,152.55,1/28/1944,152.55,868 BS
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,12/21/1944,145.7833333,499 BG
NEW ZEALAND,BISMARK ARCHIPELAGO,RABAUL,-4.2,152.2,3/9/1944,152.2,NO. 18 SQUADRON RNZAF
USA,PHILIPPINE ISLANDS,CEBU,10.321389,123.754722,3/20/1945,123.754722,307 BS
USA,JAPAN,SASEBO,33.16666667,129.7333333,7/7/1944,129.7333333,462 BG
USA,PHILIPPINE ISLANDS,MANILA,14.58333333,121,12/13/1944,121,63 BS
USA,VOLCANO AND BONIN ISLANDS,CHICHI JIMA,27.06666667,142.2166667,7/8/1945,142.2166667,46 FS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,8/18/1944,143.6666667,674 BS
USA,FORMOSA AND RYUKYU ISLANDS,KOSHUN,22,120.7333333,3/3/1945,120.7333333,9 FS
USA,PHILIPPINE ISLANDS,17 07 N 121 5,17.11666667,121.95,6/21/1945,121.95,40 FS
USA,SOLOMON ISLANDS,BUIN A/D,-6.733619,155.661467,9/23/1942,155.661467,19 BG
USA,CHINA,HENGYANG,26.93333333,112.5833333,10/5/1944,112.5833333,118 FS
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,11/8/1944,141.3166667,819 BS
USA,MARSHALL ISLANDS,EMIDJ ISLAND,6,169.7333333,3/28/1944,169.7333333,47 BS
GREAT BRITAIN,THAILAND OR SIAM,BANGKOK DOCKS,13.69583333,100.5858333,1/24/1942,100.5858333,NO. 62/34 SQ
USA,FRENCH INDO CHINA,HON GAY,20.98333333,107.0833333,3/27/1945,107.0833333,16 D
USA,FORMOSA AND RYUKYU ISLANDS,TAICHU,24.13333333,120.6666667,5/16/1945,120.6666667,2 BS
USA,BURMA,MYINGYAN,21.45,95.38333333,9/16/1943,95.38333333,490 BS
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,1/27/1945,141.3166667,42 BS
USA,JAPAN,TACHIKAWA,35.7,139.4166667,4/3/1945,139.4166667,73 BW
USA,PHILIPPINE ISLANDS,MARIKINA RIVER,14.66666667,121.0833333,7/2/1945,121.0833333,80 FS
USA,BURMA,NEW LASHIO,22.935896,97.749801,6/5/1944,97.749801,425 BS
USA,ITALY,ADRANO,37.65,14.85,7/18/1943,14.85,27 FBG
USA,JAPAN,KUNAMOTO,32.8,130.7333333,8/10/1945,130.7333333,34 FS
USA,NEW GUINEA,BASANO VILLAGE [BASANA],-8.65,148.0166667,8/31/1942,148.0166667,19 BG
USA,SOLOMON ISLANDS,BUKA,-5.416666667,154.7,5/10/1944,154.7,70 BS
USA,CELEBES ISLANDS,MERASA VILLAGE,-5.216666667,119.5,2/7/1945,119.5,42 BG
USA,CHINA,WENCHOW,23.5,119.5,6/20/1945,119.5,2 BS
USA,JAPAN,OMURA,32.93333333,129.9333333,7/30/1945,129.9333333,439 S
USA,NEW GUINEA,MAFFIN BAYH,-2,138.8333333,5/16/1944,138.8333333,65 BS
USA,INDIA,LANGAR ISLAND,3.55,72.75,6/2/1944,72.75,48 BS
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,10/12/1944,145.7833333,38 BS
USA,PHILIPPINE ISLANDS,SAN ROQUE,14.48333333,120.9166667,3/5/1945,120.9166667,42 BG
USA,NEW GUINEA,BIAK I,-1,136,5/11/1944,136,371 BS
USA,NEW GUINEA,BUT,-3.416666667,143.25,7/23/1944,143.25,674 S
USA,TUNISIA,TUNIS -MEDJEZ EL BAB HIGHWAY,36.77,10.03,4/30/1943,10.03,12 BG
USA,NEW GUINEA,UTAROM,-3.6166666,133.666666,10/8/1944,133.666666,90 S
USA,BURMA,RANGOON,16.8,96.15,5/11/1943,96.15,9 BS
USA,JAPAN,OSAKA,34.68333333,135.5333333,6/14/1945,135.5333333,314 BW
GREAT BRITAIN,GREECE,TURIN BALL BEARING FACTORY,45.07,7.68,11/24/1943,7.68,205 GP
USA,BURMA,MAN WING,23.96666667,97.9,4/20/1944,97.9,10 FC
USA,SOLOMON ISLANDS,KAHILI,-6.8,155.7833333,5/19/1944,155.7833333,106 BS
USA,VOLCANO AND BONIN ISLANDS,KAZAN ISLAND,25.68333333,141.2833333,9/6/1944,141.2833333,38 BS
USA,JAPAN,AKITA,39.75,140.0666667,6/18/1945,140.0666667,408 BS
USA,BISMARK ARCHIPELAGO,VUNAKANAU,-4.316666667,152.1833333,6/24/1945,152.1833333,65 BS
USA,BURMA,MOGAUNG,25.3,96.93333333,3/15/1944,96.93333333,529 FS
USA,PALAU ISLANDS,YAP ISLAND,9.533333333,138.1333333,8/22/1944,138.1333333,38 BS
USA,PHILIPPINE ISLANDS,SALOMAGUE,17.75,120.4166667,2/9/1945,120.4166667,822 BS
USA,NEW GUINEA,TABERFANE,-6.183333333,134.1166667,11/21/1943,134.1166667,530 BS
USA,MARSHALL ISLANDS,ENYBOR ISLAND,5.933333333,169.65,4/26/1944,169.65,47 BS
USA,NEW GUINEA,MANOKWARI,-0.833333333,134.0833333,4/19/1944,134.0833333,529 BS
AUSTRALIA,NEW GUINEA,KIETA HARBOR,-6.183333333,155.65,7/26/1942,155.65,32 SQ
USA,JAPAN,MIYAKE JIMA,34.08333333,139.5333333,4/11/1945,139.5333333,73 BW
USA,NEW GUINEA,BUT,-3.416666667,143.25,7/27/1944,143.25,675 S
USA,BISMARK ARCHIPELAGO,VUNAKANAU,-4.316666667,152.1833333,2/18/1944,152.1833333,106 BS
USA,PHILIPPINE ISLANDS,SASA,7.116666667,125.65,11/16/1944,125.65,321 BS
USA,BURMA,WANLING,21.01666667,98.06666667,12/1/1944,98.06666667,22 D
USA,PHILIPPINE ISLANDS,CABCABEN,14.5,120.5833333,2/8/1945,120.5833333,386 S
USA,CHINA,KUNMING,25.06666667,102.6833333,1/18/1945,102.6833333,22 BS
USA,BURMA,SAWNGHKA,25.16666667,96.58333333,4/13/1944,96.58333333,88 FS
USA,CELEBES ISLANDS,PARE PARE,-4.016666667,119.6166667,10/19/1944,119.6166667,529 BS
USA,PHILIPPINE ISLANDS,CEBU,10.321389,123.754722,4/3/1945,123.754722,42 BG
USA,BURMA,ONBAUK,22.58333333,95.83333333,12/22/1944,95.83333333,60 FS
USA,PHILIPPINE ISLANDS,TUMAUINI,17.25,121.8333333,6/12/1945,121.8333333,17 BS
USA,CELEBES ISLANDS,GALELA,1.833333333,127.8,7/27/1944,127.8,500 BS
USA,CHINA,CHENG TAI,38.88333333,113.15,5/5/1945,113.15,529 FS
USA,PHILIPPINE ISLANDS,IPO,14.83333333,121.1666667,4/30/1945,121.1666667,675 S
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,6/22/1944,143.6666667,310 FS
USA,CAROLINE ISLANDS,TRUK ISLAND,7.5,151.8333333,5/21/1944,151.8333333,424 BS
USA,FORMOSA AND RYUKYU ISLANDS,TAITO,22.75,121.1666667,7/6/1945,121.1666667,13 S
USA,PHILIPPINE ISLANDS,PAYAWAN,16.66666667,121.1666667,6/22/1945,121.1666667,80 FS
USA,CHINA,WUCHOW,23.43333333,111.3166667,9/21/1944,111.3166667,76 FS
USA,JAPAN,AWAGA,35.06666667,134.7666667,2/3/1945,134.7666667,497 BG
NEW ZEALAND,NEW IRELAND,KAVIENG SWEEP,-2.583333333,150.8333333,4/28/1945,150.8333333,NO. 23 SQUADRON RNZAF
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,9/7/1943,148.4166667,13 BS
USA,BURMA,MOGAUNG,25.3,96.93333333,2/25/1943,96.93333333,26 FS
USA,CELEBES ISLANDS,HALMAHERA,1,128,11/7/1944,128,42 BG
USA,BISMARK ARCHIPELAGO,RABAUL,-4.2,152.2,5/16/1945,152.2,868 BS
USA,CELEBES ISLANDS,NAMLEA,-3.266666667,127.1,10/17/1944,127.1,75 BS
USA,PHILIPPINE ISLANDS,ANNAFUNAN,17.65,121.7166667,5/21/1945,121.7166667,674 S
USA,PHILIPPINE ISLANDS,CURRY,13.58333333,123.3333333,5/1/1945,123.3333333,674 S
USA,FORMOSA AND RYUKYU ISLANDS,TAIJUBO,21.95,120.7333333,6/13/1945,120.7333333,33 BS
USA,CHINA,TOIHING,32.16666667,119.9833333,9/30/1944,119.9833333,26 FS
USA,CHINA,TSINGSING,38,114.0166667,12/28/1944,114.0166667,530 FS
USA,BURMA,RANGOON,16.8,96.15,4/29/1943,96.15,492 BS
USA,CHINA,LUNGLING,24.63333333,98.83333333,9/12/1944,98.83333333,22 BS
USA,SOLOMON ISLANDS,MONOITU,-6.683333333,155.4333333,3/13/1944,155.4333333,13 C
USA,PHILIPPINE ISLANDS,MALABANG,7.583333333,124.0833333,1/15/1945,124.0833333,42 BG
USA,CELEBES ISLANDS,WASILE BAY,1.2,128.4666667,8/29/1944,128.4666667,2 BS
AUSTRALIA,NEW GUINEA,KIETA,-6.3,155.7,7/18/1942,155.7,435 REC SQ TOWNESVILLE
USA,PHILIPPINE ISLANDS,ABIAN,16.41666667,121.1666667,4/14/1945,121.1666667,39 FS
USA,CHINA,SHANHSIEN,34.8,116.1833333,1/16/1945,116.1833333,530 FS
USA,JAPAN,MATSUZAKI,35.1,140.1,11/24/1944,140.1,500 BG
USA,BORNEO,MIRI,4.416666667,114,6/2/1945,114,339 FS
USA,BORNEO,LIMBOENG,-0.266666667,109.85,7/20/1945,109.85,868 BS
GREAT BRITAIN,LIBYA,BARDIA - CAPUZZO,32.04,23.95,4/24/1941,23.95,45/55 SQDN
USA,NEW GUINEA,HANSA BAY,-4.166666667,144.9166667,4/26/1944,144.9166667,65 BS
USA,JAPAN,NAGOYA,35.13333333,136.9,12/30/1944,136.9,888
USA,CHINA,MENGHU,22.4,101.6833333,10/28/1944,101.6833333,118 FS
USA,CHINA,KINHWA,29.11666667,119.65,9/29/1944,119.65,74 FS
USA,CHINA,HENGYANG,26.93333333,112.5833333,7/19/1944,112.5833333,75 FS
USA,VOLCANO AND BONIN ISLANDS,CHICHI JIMA,27.06666667,142.2166667,6/19/1945,142.2166667,314 BW
USA,NEW GUINEA,AMELE,-5.283333333,145.6666667,1/24/1944,145.6666667,65 BS
USA,PHILIPPINE ISLANDS,CARABAO ISLAND,12.08333333,121.9166667,4/10/1945,121.9166667,340 FS
USA,NEW GUINEA,MALAHANG,-6.666666667,147,2/15/1943,147,13 BS
USA,PHILIPPINE ISLANDS,DABGANOB,18.25,121.75,6/4/1945,121.75,13 S
USA,SOLOMON ISLANDS,CHABAI,-7.483333333,154.75,1/4/1944,154.75,69 BS
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,10/10/1943,148.4166667,530 BS
USA,PHILIPPINE ISLANDS,MT OROC,11,122.6666667,4/9/1945,122.6666667,342 FS
USA,PHILIPPINE ISLANDS,LIBBY,7.05,125.5333333,11/16/1944,125.5333333,405 BS
USA,MARCUS ISLANDS,MARCUS ISLAND,24.2,153.75,6/12/1945,153.75,26 BS
USA,INDIA,LANGAR ISLAND,3.55,72.75,2/25/1944,72.75,98 BS
USA,BISMARK ARCHIPELAGO,AMOEN RIWER,-6.116666667,150.2333333,12/28/1944,150.2333333,68 FS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,8/4/1944,143.6666667,311 FS
USA,PHILIPPINE ISLANDS,JOLO ISLAND,5.916666667,121.1666667,4/9/1945,121.1666667,307 BG
USA,BORNEO,BALIK PAPAN,-1.25,116.8333333,1/5/1945,116.8333333,319 BS
USA,NEW GUINEA,KAIRIRU,-3.333333333,143.5833333,6/19/1944,143.5833333,110 FS
USA,CELEBES ISLANDS,LANGOAN,1.15,124.8166667,9/5/1944,124.8166667,320 BS
USA,PHILIPPINE ISLANDS,FABRICA,10.891667,123.355556,2/6/1945,123.355556,8 S
USA,BISMARK ARCHIPELAGO,TOBERA,-4.4,152.3166667,4/10/1945,152.3166667,360 BG
USA,BURMA,HALWAGA,17.41666667,96.33333333,5/19/1945,96.33333333,83 BS
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,9/7/1943,148.4166667,90 BS
USA,CELEBES ISLANDS,NAMLEA,-3.266666667,127.1,11/25/1944,127.1,67 FS
USA,FORMOSA AND RYUKYU ISLANDS,TAIHOKU,25.03333333,121.5,5/23/1945,121.5,2 BS
USA,PHILIPPINE ISLANDS,DINALUPIHAN,14.83333333,120.5833333,1/28/1945,120.5833333,387 S
USA,BORNEO,JESSELTON,5.983333333,116.0666667,3/4/1945,116.0666667,72 BS
USA,JAPAN,KANOYA,31.36666667,130.8333333,4/20/1945,130.8333333,313 BW
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,3/29/1945,120.9166667,2 BS
USA,BISMARK ARCHIPELAGO,BORAM,-3.183333333,151.6166667,5/11/1943,151.6166667,71 BS
USA,PHILIPPINE ISLANDS,FABRICA,10.891667,123.355556,1/22/1945,123.355556,307 BG
USA,NEW GUINEA,HOPOI,-6.75,147.3333333,7/7/1943,147.3333333,8 BS
USA,CHINA,TANCHUK,23.43333333,110.5333333,1/10/1945,110.5333333,76 D
USA,JAPAN,KAGOSHINA,31.56666667,130.5666667,7/17/1945,130.5666667,333 FS
USA,NEW GUINEA,ANGORUM,-4.083333333,144.0833333,11/18/1944,144.0833333,360 BG
USA,NEW GUINEA,TADJI,-3.166666667,142.4166667,4/15/1944,142.4166667,13 S
USA,FORMOSA AND RYUKYU ISLANDS,KARI,23.16666667,120.1666667,5/6/1945,120.1666667,499 BS
USA,FRENCH INDO CHINA,22 40 N 106 0,22.66666667,106.0833333,5/11/1944,106.0833333,26 FS
USA,PHILIPPINE ISLANDS,SALOMAGUE,17.75,120.4166667,2/24/1945,120.4166667,388 S
USA,CELEBES ISLANDS,MANDAI,-5.066666667,119.5166667,7/3/1945,119.5166667,5 BG
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,3/28/1945,120.9166667,64 BS
USA,JAPAN,NACHIJO JIMA,33.1,139.8,12/13/1944,139.8,888
USA,BURMA,PORT BLAIR,11.68333333,92.71666667,12/7/1943,92.71666667,436 BS
USA,PHILIPPINE ISLANDS,PENALLANOA,17.63333333,121.7833333,5/27/1945,121.7833333,7 FS
USA,BURMA,KYUNGON,19.03333333,96.36666667,8/6/1944,96.36666667,528 FS
NEW ZEALAND,NEW IRELAND,KAVIENG SWEEP,-2.583333333,150.8333333,5/15/1945,150.8333333,NO. 25 SQUADRON RNZAF
USA,NEW GUINEA,TIMOEKA,-4.7833,136.533,10/18/1944,136.533,69 FS
USA,PHILIPPINE ISLANDS,LUZON,15,121,2/3/1945,121,307 BG
USA,BURMA,MYITSON,21.433333,96.466667,2/4/1945,96.466667,89 FS
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,9/8/1943,148.4166667,321 BS
USA,PHILIPPINE ISLANDS,MAGAPIT,18.11666667,121.6833333,6/3/1945,121.6833333,672 S
USA,NEW GUINEA,ALEXISHAFEN,-5.083333333,145.7833333,3/17/1944,145.7833333,71 BS
USA,NEW GUINEA,HOLLANDIA,-2.5,140.75,3/30/1944,140.75,63 BS
USA,BISMARK ARCHIPELAGO,CAPE BUSCHING,-5.916666667,148.5833333,6/30/1943,148.5833333,8 BS
USA,NEW GUINEA,DAGUA,-3.416666667,143.3333333,6/27/1944,143.3333333,674 S
USA,NEW GUINEA,JEFMAN,-0.933333333,131.1166667,8/23/1944,131.1166667,39 FS
USA,FORMOSA AND RYUKYU ISLANDS,SHOKOTOSHO,21.95,121.6,7/7/1945,121.6,498 BS
USA,BORNEO,TARAKAN ISLAND,3.416666667,117.5833333,5/6/1945,117.5833333,42 BG
USA,JAPAN,SHIMO,31.73333333,131,5/10/1945,131,505 BG
USA,FORMOSA AND RYUKYU ISLANDS,FORMOSA,24,121,5/31/1945,121,71 BS
USA,CAROLINE ISLANDS,TRUK ISLAND,7.5,151.8333333,4/28/1944,151.8333333,431 BS
USA,NEW GUINEA,MADANG,-5.25,145.8333333,4/22/1943,145.8333333,64 BS
USA,NEW GUINEA,MOKMER,-1.166666667,136.1666667,5/29/1944,136.1666667,319 BS
USA,BURMA,MU RIVER,21.933333,95.633333,1/2/1945,95.633333,5 FS
USA,NEW GUINEA,GURUA,10.25,150.4833333,2/15/1944,150.4833333,65 BS
USA,FORMOSA AND RYUKYU ISLANDS,SHINCHIKU,24.8,120.9666667,7/8/1945,120.9666667,531 BS
USA,FORMOSA AND RYUKYU ISLANDS,FORMOSA STRAITS,25,120,12/26/1944,120,11 BS
USA,JAVA,LAUTEM,-8.4,126.9,9/21/1944,126.9,530 BS
USA,SOLOMON ISLANDS,NUMA NUMA,-5.866666667,155.2333333,12/22/1943,155.2333333,13 C
USA,CELEBES ISLANDS,MALIFOET,1.15,127.85,9/25/1944,127.85,672 S
USA,CHINA,SIANG RIVER,29.433333,113.133333,6/22/1944,113.133333,75 FS
